permno,date,ticker,comnam,prc,ret
16318,2024-03-28,ELF,E L F BEAUTY INC,196.03,-0.059943
16318,2024-04-30,ELF,E L F BEAUTY INC,162.53,-0.170892
16318,2024-05-31,ELF,E L F BEAUTY INC,186.91,0.150003
16318,2024-06-28,ELF,E L F BEAUTY INC,210.72,0.127387
16318,2024-07-31,ELF,E L F BEAUTY INC,172.58,-0.180998
16318,2024-08-30,ELF,E L F BEAUTY INC,149.78999,-0.132055
16318,2024-09-30,ELF,E L F BEAUTY INC,109.03,-0.272114
16318,2024-10-31,ELF,E L F BEAUTY INC,105.25,-0.034669
16318,2024-11-29,ELF,E L F BEAUTY INC,129.52,0.230594
16318,2024-12-31,ELF,E L F BEAUTY INC,125.55,-0.030652
11884,2020-01-31,IPAR,INTERMEDIATE PARFUMS INC,69.11,-0.049512
11884,2020-02-28,IPAR,INTERMEDIATE PARFUMS INC,60.06,-0.130951
11884,2020-03-31,IPAR,INTERMEDIATE PARFUMS INC,46.35,-0.222777
11884,2020-04-30,IPAR,INTERMEDIATE PARFUMS INC,44.69,-0.035815
11884,2020-05-29,IPAR,INTERMEDIATE PARFUMS INC,46.41,0.038487
11884,2020-06-30,IPAR,INTERMEDIATE PARFUMS INC,48.15,0.037492
11884,2020-07-31,IPAR,INTERMEDIATE PARFUMS INC,40.89,-0.150779
11884,2020-08-31,IPAR,INTERMEDIATE PARFUMS INC,44.67,0.092443
11884,2020-09-30,IPAR,INTERMEDIATE PARFUMS INC,37.35,-0.163868
11884,2020-10-30,IPAR,INTERMEDIATE PARFUMS INC,41.06,0.099331
11884,2020-11-30,IPAR,INTERMEDIATE PARFUMS INC,54.31,0.322698
11884,2020-12-31,IPAR,INTERMEDIATE PARFUMS INC,60.49,0.113791
11884,2021-01-29,IPAR,INTERMEDIATE PARFUMS INC,62.18,0.027939
11884,2021-02-26,IPAR,INTERMEDIATE PARFUMS INC,73.17,0.176745
11884,2021-03-31,IPAR,INTERMEDIATE PARFUMS INC,70.93,-0.027197
11884,2021-04-30,IPAR,INTERMEDIATE PARFUMS INC,73.6,0.037643
11884,2021-05-28,IPAR,INTERMEDIATE PARFUMS INC,76.48,0.039131
11884,2021-06-30,IPAR,INTERMEDIATE PARFUMS INC,72.0,-0.055309
11884,2021-07-30,IPAR,INTERMEDIATE PARFUMS INC,76.87,0.067639
11884,2021-08-31,IPAR,INTERMEDIATE PARFUMS INC,72.54,-0.056329
11884,2021-09-30,IPAR,INTERMEDIATE PARFUMS INC,74.77,0.034188
11884,2021-10-29,IPAR,INTERMEDIATE PARFUMS INC,92.38,0.235522
11884,2021-11-30,IPAR,INTERMEDIATE PARFUMS INC,87.83,-0.049253
11884,2021-12-31,IPAR,INTERMEDIATE PARFUMS INC,106.9,0.21997
11884,2022-01-31,IPAR,INTERMEDIATE PARFUMS INC,98.97,-0.074182
11884,2022-02-28,IPAR,INTERMEDIATE PARFUMS INC,92.88,-0.061534
11884,2022-03-31,IPAR,INTERMEDIATE PARFUMS INC,88.05,-0.046619
11884,2022-04-29,IPAR,INTERMEDIATE PARFUMS INC,81.73,-0.071777
11884,2022-05-31,IPAR,INTERMEDIATE PARFUMS INC,73.8,-0.097027
11884,2022-06-30,IPAR,INTERMEDIATE PARFUMS INC,73.06,-0.003252
11884,2022-07-29,IPAR,INTERMEDIATE PARFUMS INC,83.47,0.142486
11884,2022-08-31,IPAR,INTERMEDIATE PARFUMS INC,78.52,-0.059303
11884,2022-09-30,IPAR,INTERMEDIATE PARFUMS INC,75.46,-0.032603
11884,2022-10-31,IPAR,INTERMEDIATE PARFUMS INC,80.88,0.071826
11884,2022-11-30,IPAR,INTERMEDIATE PARFUMS INC,95.29,0.178165
11884,2022-12-30,IPAR,INTERMEDIATE PARFUMS INC,96.52,0.018155
11884,2023-01-31,IPAR,INTERMEDIATE PARFUMS INC,118.22,0.224824
11884,2023-02-28,IPAR,INTERMEDIATE PARFUMS INC,120.41,0.018525
11884,2023-03-31,IPAR,INTERMEDIATE PARFUMS INC,142.24001,0.186488
11884,2023-04-28,IPAR,INTERMEDIATE PARFUMS INC,151.78999,0.06714
11884,2023-05-31,IPAR,INTERMEDIATE PARFUMS INC,125.6,-0.172541
11884,2023-06-30,IPAR,INTERMEDIATE PARFUMS INC,135.23,0.081648
11884,2023-07-31,IPAR,INTERMEDIATE PARFUMS INC,149.56,0.105968
11884,2023-08-31,IPAR,INTERMEDIATE PARFUMS INC,139.73,-0.065726
11884,2023-09-29,IPAR,INTERMEDIATE PARFUMS INC,134.34,-0.034102
11884,2023-10-31,IPAR,INTERMEDIATE PARFUMS INC,127.11,-0.053819
11884,2023-11-30,IPAR,INTERMEDIATE PARFUMS INC,125.16,-0.015341
11884,2023-12-29,IPAR,INTERMEDIATE PARFUMS INC,144.00999,0.155601
11884,2024-01-31,IPAR,INTERMEDIATE PARFUMS INC,139.14999,-0.033748
11884,2024-02-29,IPAR,INTERMEDIATE PARFUMS INC,146.72,0.054402
11884,2024-03-28,IPAR,INTERMEDIATE PARFUMS INC,140.50999,-0.037214
11884,2024-04-30,IPAR,INTERMEDIATE PARFUMS INC,116.38,-0.171732
11884,2024-05-31,IPAR,INTERMEDIATE PARFUMS INC,119.78,0.029215
11884,2024-06-28,IPAR,INTERMEDIATE PARFUMS INC,116.03,-0.025046
11884,2024-07-31,IPAR,INTERMEDIATE PARFUMS INC,140.67999,0.212445
11884,2024-08-30,IPAR,INTERMEDIATE PARFUMS INC,128.84,-0.084163
11884,2024-09-30,IPAR,INTERMEDIATE PARFUMS INC,129.48,0.010789
11884,2024-10-31,IPAR,INTERPARFUMS INC,121.07,-0.064952
11884,2024-11-29,IPAR,INTERPARFUMS INC,137.66,0.137028
11884,2024-12-31,IPAR,INTERPARFUMS INC,131.50999,-0.039227
92322,2020-01-31,ULTA,ULTA BEAUTY INC,267.91,0.058347
92322,2020-02-28,ULTA,ULTA BEAUTY INC,257.09,-0.040387
92322,2020-03-31,ULTA,ULTA BEAUTY INC,175.7,-0.316582
92322,2020-04-30,ULTA,ULTA BEAUTY INC,217.92,0.240296
92322,2020-05-29,ULTA,ULTA BEAUTY INC,244.00999,0.119723
92322,2020-06-30,ULTA,ULTA BEAUTY INC,203.42,-0.166346
92322,2020-07-31,ULTA,ULTA BEAUTY INC,192.99001,-0.051273
92322,2020-08-31,ULTA,ULTA BEAUTY INC,232.17999,0.203067
92322,2020-09-30,ULTA,ULTA BEAUTY INC,223.98,-0.035317
92322,2020-10-30,ULTA,ULTA BEAUTY INC,206.77,-0.076837
92322,2020-11-30,ULTA,ULTA BEAUTY INC,275.39999,0.331915
92322,2020-12-31,ULTA,ULTA BEAUTY INC,287.16,0.042702
92322,2021-01-29,ULTA,ULTA BEAUTY INC,279.76001,-0.02577
92322,2021-02-26,ULTA,ULTA BEAUTY INC,322.32999,0.152166
92322,2021-03-31,ULTA,ULTA BEAUTY INC,309.17001,-0.040828
92322,2021-04-30,ULTA,ULTA BEAUTY INC,329.35001,0.065272
92322,2021-05-28,ULTA,ULTA BEAUTY INC,345.35999,0.048611
92322,2021-06-30,ULTA,ULTA BEAUTY INC,345.76999,0.001187
92322,2021-07-30,ULTA,ULTA BEAUTY INC,335.79999,-0.028834
92322,2021-08-31,ULTA,ULTA BEAUTY INC,387.31,0.153395
92322,2021-09-30,ULTA,ULTA BEAUTY INC,360.92001,-0.068137
92322,2021-10-29,ULTA,ULTA BEAUTY INC,367.35999,0.017843
92322,2021-11-30,ULTA,ULTA BEAUTY INC,383.95001,0.04516
92322,2021-12-31,ULTA,ULTA BEAUTY INC,412.34,0.073942
92322,2022-01-31,ULTA,ULTA BEAUTY INC,363.73999,-0.117864
